method,precision,recall,f1,auc,tp,fp,fn,tn
Single-signal s1 (byte volume),0.6773783009863188,0.3163917372566503,0.4313209076175041,0.7740701381820038,2129,1014,4600,11681
Single-signal s4 (file/protocol),0.936864406779661,0.32857779759251005,0.48652216965562767,0.646315223631866,2211,149,4518,12546
Single-signal s6 (asymmetry),0.8266796494644596,0.3785109228711547,0.5192660550458715,0.8707840669652105,2547,534,4182,12161
Fusion flag>=1 (any signal),0.6446240509429341,0.3911428146827166,0.486866444691084,0.6384229236863761,2632,1451,4097,11244
Fusion flag>=2 (2+ signals),0.9002896152254861,0.32337643037598457,0.4758364312267658,0.6521962892328917,2176,241,4553,12454
Fusion flag>=3 (all signals),0.9976007677543186,0.3089612126616139,0.47180301826846704,0.6542836784064272,2079,5,4650,12690
Isolation Forest (all 3 signals),0.44256508310045595,0.44716897012929113,0.44485511531638083,0.646928313611568,3009,3790,3720,8905
